Run,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap
0,1000,2,2,auto,70,1
1,400,5,4,None,20,0
2,800,10,2,None,110,1
3,600,5,2,None,NaN,1
4,1600,10,1,None,10,0
5,1000,10,4,None,90,0
6,600,10,2,None,30,0
7,400,5,4,None,100,1
8,400,5,4,None,100,1
9,1000,10,4,None,90,0
10,400,2,4,None,70,1
11,1200,2,1,None,10,1
12,800,2,4,None,20,0
13,1000,5,1,None,30,1
14,1200,10,1,None,20,0
15,1800,10,2,None,20,1
16,1200,5,1,None,20,1
17,1200,5,1,None,20,1
18,1800,10,2,None,20,1
19,200,2,2,None,50,0
20,2000,2,4,None,30,1
21,1400,5,1,None,110,1
22,200,2,1,None,10,1
23,800,2,2,None,50,1
24,1400,5,1,None,110,1
25,600,5,2,auto,20,1
26,1200,10,4,None,NaN,0
27,1200,10,4,None,NaN,0
28,1400,5,1,None,20,0
29,200,10,1,None,80,0
30,800,2,4,auto,20,0
31,1200,5,1,auto,20,0
32,800,5,1,None,NaN,1
33,800,5,1,None,NaN,1
34,1600,5,1,auto,90,1
35,1800,2,2,None,40,1
36,1800,2,2,None,40,1
37,200,2,2,auto,20,1
38,1800,2,2,None,40,1
39,1400,5,1,auto,80,1
40,1400,5,2,None,60,1
41,600,10,1,None,NaN,0
42,1200,5,1,None,80,1
43,1200,10,1,None,60,1
44,1800,2,1,auto,80,0
45,2000,2,2,None,20,1
46,1800,2,1,auto,100,0
47,1600,2,2,auto,40,1
48,400,10,2,None,20,1
49,200,2,1,None,40,1
