Run,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap
0,1400,10,4,None,40,1
1,1200,2,1,None,90,1
2,1200,2,1,None,90,1
3,1200,2,1,None,90,1
4,400,10,1,None,40,1
5,400,5,4,None,100,1
6,2000,10,1,None,20,1
7,1400,2,1,None,60,1
8,1200,2,2,None,90,1
9,1400,2,1,None,60,1
10,600,10,4,None,NaN,1
11,1200,2,1,None,10,1
12,1800,5,2,None,NaN,0
13,1200,10,1,None,20,0
14,1200,10,1,None,20,0
15,400,10,2,None,60,1
16,1000,5,2,None,NaN,1
17,2000,10,4,None,20,0
18,800,2,2,None,100,0
19,200,10,4,None,90,1
20,400,10,4,None,80,1
21,1400,5,1,None,110,1
22,1600,10,4,None,30,1
23,2000,2,4,None,30,1
24,800,2,2,None,50,1
25,1200,10,2,None,10,0
26,200,10,1,None,80,1
27,200,10,1,None,80,1
28,1000,5,1,None,110,1
29,600,10,2,None,90,1
30,600,2,4,None,70,0
31,800,5,1,None,NaN,1
32,800,10,2,None,80,0
33,800,5,1,None,NaN,1
34,600,2,2,None,100,1
35,200,5,4,None,40,1
36,1800,2,2,None,40,1
37,1000,2,2,None,100,0
38,2000,5,2,None,80,0
39,1800,2,2,None,40,1
40,2000,5,4,None,90,1
41,600,10,1,None,NaN,0
42,1200,10,1,None,60,1
43,1200,10,1,None,60,1
44,1200,10,1,None,60,1
45,1600,2,1,None,90,1
46,200,2,1,None,40,1
47,2000,2,2,None,20,1
48,2000,2,2,None,20,1
49,200,2,1,None,40,1
