,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap
0,600.0,2.0,2.0,sqrt,20.0,1.0
1,200.0,2.0,2.0,sqrt,80.0,1.0
2,200.0,5.0,2.0,sqrt,20.0,0.0
3,1200.0,2.0,1.0,sqrt,90.0,1.0
4,1800.0,10.0,1.0,auto,100.0,0.0
5,1200.0,2.0,2.0,sqrt,90.0,1.0
6,800.0,2.0,1.0,auto,100.0,0.0
7,1200.0,10.0,1.0,sqrt,40.0,0.0
8,1800.0,5.0,2.0,auto,20.0,0.0
9,200.0,2.0,1.0,sqrt,10.0,1.0
10,1400.0,5.0,4.0,auto,100.0,0.0
11,200.0,2.0,4.0,sqrt,,1.0
12,1000.0,10.0,1.0,auto,20.0,1.0
13,1000.0,5.0,1.0,sqrt,70.0,0.0
14,200.0,10.0,2.0,sqrt,100.0,0.0
15,400.0,10.0,2.0,sqrt,60.0,1.0
16,200.0,10.0,2.0,auto,100.0,0.0
17,1000.0,2.0,1.0,auto,20.0,1.0
18,800.0,10.0,1.0,auto,20.0,1.0
19,200.0,2.0,2.0,sqrt,50.0,0.0
20,1400.0,5.0,1.0,sqrt,110.0,1.0
21,1800.0,10.0,1.0,auto,80.0,0.0
22,400.0,10.0,2.0,sqrt,60.0,1.0
23,1800.0,2.0,1.0,auto,,0.0
24,200.0,2.0,1.0,sqrt,10.0,1.0
25,600.0,5.0,2.0,auto,20.0,1.0
26,1400.0,5.0,1.0,sqrt,20.0,0.0
27,1000.0,5.0,1.0,sqrt,100.0,0.0
28,1400.0,5.0,1.0,sqrt,20.0,0.0
29,800.0,10.0,1.0,auto,40.0,1.0
30,800.0,2.0,4.0,sqrt,10.0,0.0
31,1200.0,5.0,1.0,auto,20.0,0.0
32,400.0,5.0,1.0,sqrt,30.0,1.0
33,1200.0,5.0,1.0,auto,20.0,0.0
34,1600.0,5.0,1.0,auto,90.0,1.0
35,200.0,2.0,1.0,auto,50.0,1.0
36,1400.0,5.0,1.0,auto,80.0,1.0
37,200.0,2.0,2.0,auto,20.0,1.0
38,200.0,5.0,1.0,auto,,1.0
39,400.0,5.0,1.0,sqrt,20.0,0.0
40,200.0,5.0,2.0,auto,60.0,1.0
41,1800.0,2.0,1.0,auto,80.0,0.0
42,2000.0,2.0,2.0,auto,50.0,0.0
43,1800.0,2.0,1.0,auto,80.0,0.0
44,1800.0,2.0,1.0,auto,80.0,0.0
45,1600.0,2.0,1.0,sqrt,90.0,1.0
46,200.0,5.0,1.0,sqrt,10.0,0.0
47,1600.0,2.0,2.0,auto,40.0,1.0
48,1800.0,2.0,1.0,auto,100.0,0.0
49,1600.0,2.0,1.0,sqrt,90.0,1.0
